"Longitude","Latitude","year","Tested","uniq_id_publication","n","Present"
-6.91667,10.7833,2016,41,1017,1,11
-5.4625,12.382,2012,191,500,2,130
-5.4625,12.382,2014,132,500,2,94
-5.35118,6.81623,2012,10,423,1,3
-4.29177,11.1781,1999,114,40,1,70
-4.29177,11.1781,2003,110,101,2,68
-4.29177,11.1781,2005,50,116,1,14
-4.29177,11.1781,2005,50,121,1,14
-4.29177,11.1781,2006,150,224,1,109
-4.29177,11.1781,2007,111,224,1,74
-4.29177,11.1781,2010,39,532,1,24
-4.29177,11.1781,2012,236,497,2,58
-4.29177,11.1781,2014,571,449,1,120
-4.29177,11.1781,2022,178,1085,2,11
-4.04742,5.43089,2015,28,709,1,0
-4.03778,11.4347,2009,261,360,2,179
-4.03333,5.31667,1997,21,6,1,13
-4.03333,5.31667,2000,12,72,1,7
-4.03333,5.31667,2000,12,105,1,7
-4.03333,5.31667,2015,16,709,1,5
-4.03333,5.31667,2016,118,1262,1,15
-4.03333,5.31667,2017,21,768,1,8
-4.03333,5.31667,2017,26,1375,1,1
-4.03333,5.31667,2018,10,1330,1,1
-4.03333,5.31667,2018,131,1292,1,16
-4.02862,5.4268,2006,32,390,1,18
-4.02862,5.4268,2009,63,1268,1,30
-4.00826,5.35995,2014,119,1262,1,33
-3.8859,5.27725,2015,16,709,1,5
-3.8673,12.7345,2020,285,1132,1,12
-3.86667,12.7333,2002,47,219,1,22
-3.86667,12.7333,2003,169,147,1,137
-3.86667,12.7333,2005,109,214,1,57
-3.71667,12.6333,2000,210,59,1,91
-3.71667,12.6333,2003,53,147,1,34
-3.61111,14.35,1997,116,2,2,47
-3.6095,14.3491,2010,100,1339,1,59
-3.59392,5.27118,2005,48,299,1,48
-3.5216,11.4891,2014,36,1302,1,15
-3.5216,11.4891,2016,59,1302,1,7
-3.51786,5.28725,2005,44,299,1,39
-3.4961,6.7208,2016,106,1262,1,9
-3.1554,5.6032,2015,64,1425,1,10
-3.15538,5.60318,2015,20,709,1,5
-3.0264,13.9003,2005,48,1192,1,16
-3.0264,13.9003,2010,72,1339,1,36
-2.52147,10.0621,2006,39,342,1,36
-2.52147,10.0621,2008,42,342,1,40
-2.52147,10.0621,2010,20,342,1,10
-2.33333,7.33333,2004,74,342,1,49
-2.33333,7.33333,2006,35,342,1,30
-2.33333,7.33333,2008,49,253,1,16
-2.33333,7.33333,2008,50,342,1,25
-2.333,7.333,2004,62,111,1,38
-2.18869,12.6842,2011,581,1353,1,211
-2.18869,12.6842,2011,675,406,1,211
-2.18869,12.6842,2013,350,420,1,112
-2.14502,5.3902,2010,34,358,1,21
-2.1273,12.6335,2013,325,420,1,99
-1.983,5.3,2004,42,111,1,41
-1.983,5.3,2004,50,342,1,49
-1.983,5.3,2008,18,342,1,17
-1.8581,13.0547,2002,53,1172,1,19
-1.8105,12.4148,2002,53,1172,1,22
-1.8102,12.4936,2002,56,1172,1,20
-1.741,12.6734,2002,53,1172,1,19
-1.7089,12.35,2005,195,155,1,120
-1.7089,12.35,2005,267,381,1,188
-1.7089,12.35,2022,150,1090,1,149
-1.67607,7.95592,2010,57,358,1,36
-1.6736,12.7513,2002,58,1172,1,26
-1.6717,8.1334,2004,100,1188,1,62
-1.6404,12.5509,2002,58,1172,1,24
-1.62197,6.68712,2007,140,256,1,126
-1.58333,6.45,2006,40,342,1,28
-1.58333,6.45,2008,40,253,1,26
-1.58333,6.45,2008,50,342,1,32
-1.58333,6.45,2010,14,342,1,8
-1.56448,6.75162,2017,46,759,1,1
-1.56448,6.75162,2017,165,759,1,46
-1.5424,5.6098,2012,52,1358,1,12
-1.52086,6.74704,2010,53,358,1,28
-1.51966,12.3714,1994,506,1196,1,56
-1.51966,12.3714,2018,19,1292,1,3
-1.4173,12.5826,2002,55,1172,1,22
-1.4161,12.6511,2002,53,1172,1,30
-1.4152,12.662,2002,61,1172,1,27
-1.3833,12.516,2002,51,1172,1,28
-1.3602,12.6089,2002,54,1172,1,19
-1.3439,5.0981,2012,29,1358,1,5
-1.3149,12.626,2002,55,1172,1,26
-1.3,12.5822,2002,999,132,1,409
-1.3,12.9,2002,56,1172,1,13
-1.2754,5.694,2012,61,1358,1,16
-1.27314,5.5662,2013,214,419,1,154
-1.2558,6.8931,2001,78,1160,1,46
-1.2558,6.8931,2003,84,1160,1,55
-1.24723,5.10506,2006,39,342,1,37
-1.24723,5.10506,2008,42,342,1,40
-1.24723,5.10506,2008,48,253,1,32
-1.24723,5.10506,2010,20,342,1,16
-1.24723,5.10506,2012,40,1358,1,7
-1.24723,5.10506,2014,90,780,1,42
-1.24723,5.10506,2015,127,780,2,48
-1.24723,5.10506,2016,90,780,1,26
-1.24723,5.10506,2017,66,780,1,19
-1.2027,12.4752,2002,63,1172,1,36
-1.1424,12.5192,2002,59,1172,1,17
-1.1,10.9,2004,34,342,1,25
-1.1,10.9,2004,105,111,1,48
-1.1,10.9,2006,40,342,1,35
-1.1,10.9,2008,50,342,1,34
-1.1,10.9,2010,17,342,1,10
-1.09028,10.8847,1996,51,160,1,23
-1.09028,10.8847,2008,41,253,1,11
-1.08489,6.80194,1998,171,10,1,117
-1.05861,5.56078,2010,40,358,1,24
-1.0518,12.5653,2002,69,1172,1,33
-0.947762,9.56152,2017,36,759,1,0
-0.947762,9.56152,2017,165,759,1,36
-0.946474,9.55771,2017,39,759,1,1
-0.946474,9.55771,2017,165,759,1,39
-0.853333,9.4075,2000,225,1165,1,182
-0.853333,9.4075,2000,270,71,2,207
-0.853333,9.4075,2002,288,130,2,225
-0.853333,9.4075,2002,3182,138,1,2517
-0.7519,12.652,2002,40,1172,1,13
-0.7027,12.3484,2002,52,1172,1,15
-0.62284,5.33871,2004,25,288,1,22
-0.417994,5.48564,2010,60,269,1,29
-0.375209,6.38591,2006,39,342,1,36
-0.375209,6.38591,2008,50,342,1,39
-0.375209,6.38591,2010,14,342,1,8
-0.375209,6.38591,2014,94,780,2,25
-0.375209,6.38591,2015,96,780,2,12
-0.375209,6.38591,2016,91,780,1,15
-0.375209,6.38591,2017,57,780,1,3
-0.2,5.55,2000,17,72,1,12
-0.2,5.55,2000,17,105,1,12
-0.2,5.55,2010,30,358,1,15
-0.2,5.55,2012,20,625,1,3
-0.2,5.55,2013,17,379,1,13
-0.2,5.55,2014,22,911,1,1
-0.2,5.55,2014,23,423,1,3
-0.2,5.55,2017,11,768,1,0
-0.2,5.55,2018,77,1298,1,9
-0.2,5.55,2023,42,1497,1,1
-0.102998,5.88169,2017,17,759,1,1
-0.102998,5.88169,2017,165,759,1,17
-0.01667,9.4333,2004,67,111,1,31
-0.01667,9.4333,2004,88,342,1,46
-0.01667,9.4333,2006,40,342,1,29
-0.01667,9.4333,2008,50,342,1,30
-0.01667,9.4333,2010,20,342,1,9
0.0955,10.5168,2010,75,1316,1,30
0.0955,10.5168,2011,73,1316,1,31
0.0955,10.5168,2012,59,1316,1,19
0.0955,10.5168,2013,70,1316,1,14
0.0955,10.5168,2014,66,1316,1,16
0.450237,6.57814,2010,32,358,1,19
0.46,7.15,2004,78,342,1,60
0.46,7.15,2004,130,111,1,105
0.46,7.15,2008,50,342,1,28
0.60373,5.78287,2017,27,759,1,1
0.60373,5.78287,2017,165,759,1,27
1.19777,7.75615,2022,165,1100,1,1
1.2125,6.13778,2018,16,1292,1,1
1.2667,10.6167,2019,53,1390,1,6
1.40833,18.4389,1999,57,50,1,46
1.4193,6.65634,2022,192,1100,1,7
2.10528,13.5214,2000,11,72,1,9
2.10528,13.5214,2000,11,105,1,9
2.10528,13.5214,2003,88,123,2,40
2.10528,13.5214,2017,10,768,1,2
2.10674,13.5098,2020,90,1468,1,9
2.15026,13.5673,2004,318,182,1,103
2.15976,6.66446,2007,195,340,1,191
2.44417,6.35306,2011,213,323,1,200
2.61667,9.35,2012,193,478,1,56
3.233,6.6909,2017,83,1272,1,36
3.35313,7.15359,2014,32,1457,1,17
3.36708,6.52613,2002,150,1099,1,121
3.36708,6.52613,2010,262,1099,1,203
3.38,6.52,2016,70,1261,1,41
3.38457,6.51941,2000,42,1400,1,31
3.38457,6.51941,2002,63,1400,1,47
3.38457,6.51941,2008,119,397,1,114
3.38457,6.51941,2011,54,414,1,41
3.38457,6.51941,2014,46,911,1,17
3.38457,6.51941,2016,26,763,1,9
3.38457,6.51941,2016,65,627,1,42
3.44667,11.8878,2011,26,385,1,4
3.44667,11.8878,2020,83,1468,1,16
3.56623,7.16101,2014,24,1457,1,22
3.5964,6.5644,2000,39,1400,1,19
3.5964,6.5644,2002,52,1400,1,33
3.5964,6.5644,2014,55,1349,1,45
3.5964,6.5644,2019,54,1549,1,7
3.6425,6.8402,2009,98,1403,1,95
3.84897,9.13741,1996,93,29,1,46
3.91667,7.39639,2003,111,103,1,89
3.91667,7.39639,2004,70,285,1,55
3.91667,7.39639,2005,78,210,1,55
3.91667,7.39639,2005,101,100,1,79
3.9368,7.843,2019,13,1549,1,2
4.2078,12.4376,2019,34,1549,1,2
4.2436,8.1227,2019,69,1549,1,8
4.516,9.8838,2014,89,1349,1,62
4.52,7.5629,2019,19,1549,1,3
4.56122,7.76581,2004,116,125,1,105
4.56122,7.76581,2006,81,248,1,73
4.57108,7.96122,2021,297,1489,1,47
4.7096,7.6103,2022,13,1126,2,1
5.2292,13.0336,2014,42,1317,1,7
5.5932,7.1989,2019,49,1549,1,6
5.5983,9.9309,2019,30,1549,1,11
5.6145,6.3176,2006,353,159,1,80
5.62276,6.33068,2016,41,1261,1,25
5.9339,5.704,2019,39,1549,1,15
6.0515,4.787,2014,43,1317,1,42
6.6131,0.1864,2020,81,1536,1,80
6.6131,0.1864,2021,97,1536,1,93
6.6131,0.1864,2022,63,1536,1,61
6.73334,0.330192,2004,70,120,1,70
6.73334,0.330192,2013,60,999,1,59
6.91033,6.00971,2014,55,1280,1,52
7.0336,4.8242,2010,72,1328,1,52
7.0438,5.4837,2014,77,1317,1,72
7.25427,9.05465,2014,74,423,1,31
7.48333,9.06667,2000,15,72,1,11
7.48333,9.06667,2000,15,105,1,11
7.48333,9.06667,2012,18,1332,1,12
7.48333,9.06667,2012,32,625,1,15
7.48333,9.06667,2013,14,1332,1,5
7.48333,9.06667,2014,25,1250,1,12
7.48333,9.06667,2014,26,1332,1,11
7.48333,9.06667,2014,83,1308,1,37
7.48333,9.06667,2015,13,1332,1,5
7.48333,9.06667,2016,15,1332,1,3
7.48333,9.06667,2016,51,1367,1,18
7.48333,9.06667,2017,26,1332,1,9
7.48333,9.06667,2017,41,1367,1,19
7.48333,9.06667,2017,88,1375,1,11
7.48333,9.06667,2017,118,768,1,44
7.48333,9.06667,2018,13,1292,1,7
7.48333,9.06667,2018,15,1332,1,4
7.48333,9.06667,2018,18,1330,1,2
7.48333,9.06667,2018,28,1367,1,6
7.48333,9.06667,2019,29,1367,1,10
7.48333,9.06667,2019,31,1332,1,7
7.7165,11.1299,1993,35,1145,1,5
7.98677,16.9744,2020,74,1468,1,10
8.3417,4.97572,2019,21,1549,1,14
8.5,7.73,2024,13,1530,1,10
8.51667,8.49167,2006,75,248,1,71
8.54,7.73,2024,58,1530,1,34
8.592,12.0022,2019,68,1549,1,4
8.62,7.63,2024,29,1530,1,16
8.70697,3.75353,2014,75,423,1,11
8.70697,3.75353,2014,82,911,1,16
8.70697,3.75353,2018,115,795,1,31
8.74812,3.61983,2012,151,1230,1,139
8.767,3.73203,1999,60,806,1,43
8.767,3.73203,2001,102,806,1,87
8.767,3.73203,2004,262,806,1,200
8.767,3.73203,2006,158,806,1,107
8.767,3.73203,2011,163,806,1,114
8.767,3.73203,2012,47,625,1,15
8.767,3.73203,2013,170,806,1,109
8.767,3.73203,2014,11,1250,1,4
8.767,3.73203,2016,169,806,1,33
8.767,3.73203,2017,63,1375,1,4
8.767,3.73203,2019,139,806,1,4
9.3146,4.08925,2004,230,631,2,223
9.3146,4.08925,2005,260,217,1,226
9.3146,4.08925,2011,260,631,2,174
9.3146,4.08925,2014,233,604,1,116
9.4544,0.3901,2012,11,625,1,9
9.4544,0.3901,2017,11,768,1,9
9.4544,0.3901,2018,33,1292,1,12
9.5154,0.3999,2014,58,1393,1,44
9.5154,0.3999,2022,139,1522,1,9
9.5179,9.2182,2019,24,1549,1,3
9.6022,11.8246,2014,30,1317,1,4
9.76464,4.05885,2020,203,801,1,51
9.77049,1.86165,2013,244,557,1,74
9.78368,2.04405,2005,113,320,1,89
9.78368,2.04405,2013,43,475,1,15
9.8404,10.306,2019,53,1549,1,8
10.0588,5.4539,2017,90,1331,1,1
10.0588,5.4539,2020,100,1451,2,8
10.1739,1.74579,2005,184,320,1,127
10.1739,1.74579,2013,108,475,1,67
10.2404,-0.701546,1998,215,276,1,215
10.2404,-0.701546,2001,25,1148,1,25
10.2404,-0.701546,2002,34,77,1,33
10.2404,-0.701546,2006,144,276,1,141
10.2404,-0.701546,2018,108,1279,1,71
10.5868,-1.22002,2014,36,506,1,26
10.5868,-1.22002,2018,109,1279,1,88
10.6954,-0.1989,2018,368,1279,1,300
11.1731,10.2791,2019,11,1549,1,0
11.2666,2.3815,2017,26,1331,1,0
11.5167,3.86667,1996,93,7,1,54
11.5167,3.86667,2000,118,21,1,82
11.5167,3.86667,2000,155,22,1,108
11.5167,3.86667,2005,259,1082,1,199
11.5167,3.86667,2005,260,217,1,200
11.5167,3.86667,2007,203,290,1,165
11.5167,3.86667,2010,180,338,1,65
11.5167,3.86667,2012,11,625,1,4
11.5167,3.86667,2014,23,423,1,9
11.5167,3.86667,2014,26,911,1,5
11.5167,3.86667,2014,140,1082,1,33
11.5167,3.86667,2017,40,768,1,8
11.5167,3.86667,2018,53,1014,1,3
11.5167,3.86667,2018,59,1014,1,21
11.5167,3.86667,2018,125,1292,1,19
11.5167,3.86667,2020,147,1082,1,10
11.5167,3.86667,2022,250,1516,1,NA
11.5593,1.59513,2005,29,1213,1,24
11.5593,1.59513,2008,78,1213,1,55
11.8664,-4.76916,2000,42,75,1,39
11.9333,3.96667,2007,229,290,1,194
11.9333,3.96667,2018,809,1348,1,93
12.2018,-5.5762,2018,39,1329,1,29
12.4647,-1.14383,2013,25,722,1,22
12.4647,-1.14383,2014,28,722,1,27
12.4647,-1.14383,2014,115,506,1,95
12.4908,9.2149,2014,48,1317,1,4
12.4908,9.2149,2019,17,1549,1,3
12.6172,6.4679,2019,762,1348,1,234
12.7391,-0.815042,2013,28,722,1,26
12.7391,-0.815042,2014,17,722,1,16
12.7391,-0.815042,2014,200,506,1,167
13.0212,-1.8301,2000,47,1192,1,44
13.1532,11.8226,2010,56,596,1,3
13.2344,-8.83833,2005,245,174,1,231
13.2344,-8.83833,2007,102,236,1,99
13.2344,-8.83833,2012,12,772,2,5
13.2344,-8.83833,2012,42,625,1,20
13.2344,-8.83833,2013,38,772,2,12
13.2344,-8.83833,2014,23,772,2,5
13.2344,-8.83833,2014,24,1250,1,14
13.2344,-8.83833,2014,101,423,1,26
13.2344,-8.83833,2014,139,911,1,53
13.2344,-8.83833,2015,28,772,2,9
13.2344,-8.83833,2016,39,772,1,12
13.2344,-8.83833,2016,40,772,1,13
13.2344,-8.83833,2017,19,772,2,5
13.2344,-8.83833,2017,30,768,1,6
13.4,9.3,2005,240,217,1,76
13.5833,-1.63333,2004,96,251,1,92
13.5833,-1.63333,2009,134,251,1,131
13.5833,-1.63333,2010,46,305,1,45
13.5833,-1.63333,2011,17,722,1,16
13.5833,-1.63333,2012,25,722,1,24
13.5833,-1.63333,2013,19,722,1,17
13.5833,-1.63333,2013,26,385,1,19
13.5833,-1.63333,2014,17,722,1,12
13.5833,-1.63333,2014,51,506,1,36
13.6643,-8.47178,2020,95,1482,1,7
13.683,4.581,2003,164,562,1,118
14.0628,3.0851,2012,95,562,1,44
14.4,-18.4,2023,28,1507,1,0
15.0506,-7.61383,2004,66,201,1,62
15.0557,12.1348,2018,14,1292,1,4
15.2136,-4.26892,2010,51,289,1,47
15.2385,-4.34714,2014,62,578,1,38
15.2833,-4.26667,2000,96,75,1,95
15.2833,-4.26667,2003,50,66,1,50
15.2833,-4.26667,2005,100,737,1,93
15.2833,-4.26667,2012,20,625,1,16
15.2833,-4.26667,2014,18,911,1,8
15.2983,-4.31642,2022,77,1481,1,4
15.3139,-4.33167,2000,27,72,1,27
15.3139,-4.33167,2007,166,359,1,92
15.3139,-4.33167,2008,105,186,1,88
15.3139,-4.33167,2010,12,337,2,1
15.3139,-4.33167,2010,202,348,1,145
15.3139,-4.33167,2012,11,625,1,5
15.3139,-4.33167,2014,18,911,1,3
15.3139,-4.33167,2014,22,1250,1,10
15.3139,-4.33167,2014,23,423,1,12
15.3139,-4.33167,2014,512,1281,1,274
15.3139,-4.33167,2017,50,768,1,11
15.3139,-4.33167,2017,61,1375,1,9
15.3139,-4.33167,2017,160,797,1,78
15.3139,-4.33167,2017,160,1285,1,78
15.3139,-4.33167,2018,23,1292,1,15
15.3139,-4.33167,2018,23,1330,1,1
15.3139,-4.33167,2019,104,797,1,34
15.3139,-4.33167,2019,220,1000,1,60
16.7001,8.46722,2016,183,607,1,25
16.7001,8.46722,2017,191,1006,1,24
17.7666,8.3395,2012,223,1094,1,52
17.7666,8.3395,2014,526,1094,1,277
17.7666,8.3395,2021,230,1094,1,26
17.7666,8.3395,2023,211,1094,1,24
18.2229,0.002214,2014,51,578,1,36
18.2229,0.002214,2017,56,797,1,18
18.2229,0.002214,2017,56,1285,1,18
18.2229,0.002214,2019,76,797,1,17
18.4202,-4.42545,2017,75,797,1,31
18.4202,-4.42545,2017,75,1285,1,31
18.4202,-4.42545,2019,86,797,1,41
18.4241,-33.9249,2014,91,1324,1,38
18.5833,4.36667,2004,139,740,1,133
18.5833,4.36667,2004,180,87,1,108
18.5833,4.36667,2009,61,740,1,59
18.5833,4.36667,2018,32,1292,1,0
18.91,-18.25,2023,13,1507,1,0
20.2963,3.32167,2017,54,797,1,6
20.2963,3.32167,2017,54,1285,1,6
20.2963,3.32167,2019,83,797,1,11
20.5833,-18.3333,2023,12,1507,1,0
21.5588,-4.85312,2014,31,578,1,21
22.241,-19.9547,2014,167,718,2,6
24.6278,10.658,2010,73,761,1,63
24.8824,12.058,2016,75,1460,1,15
25.0033,-8.73439,2017,71,797,1,8
25.0033,-8.73439,2017,71,1285,1,8
25.0033,-8.73439,2019,81,797,1,6
25.1875,0.512155,2017,85,797,1,4
25.1875,0.512155,2017,85,1285,1,4
25.1875,0.512155,2019,95,797,1,6
25.3425,13.7204,1990,39,5,1,26
26.325,-10.6152,2017,65,797,1,1
26.325,-10.6152,2017,65,1285,1,1
26.325,-10.6152,2019,69,797,1,1
26.4518,-1.46372,2014,51,578,1,27
26.6185,-2.56638,2017,66,797,1,3
26.6185,-2.56638,2017,66,1285,1,3
26.6185,-2.56638,2019,81,797,1,4
26.783,-16.4235,2006,128,347,1,113
26.783,-16.4235,2017,151,764,1,3
26.9522,-10.9424,2014,63,578,1,41
26.9554,-16.5739,2018,15,1458,1,0
27.0018,-16.3811,2014,10,1458,1,-9
27.0018,-16.3811,2016,40,1458,1,0
27.0018,-16.3811,2017,15,1458,1,0
27.0096,-16.5745,2017,19,1458,1,0
27.0443,-16.4361,2016,32,1458,1,0
27.0579,-16.3074,2016,18,1458,1,0
27.0579,-16.3074,2017,15,1458,1,0
27.1647,-16.2408,2016,18,1458,1,0
27.1647,-16.2408,2017,33,1458,1,0
27.1763,-16.3403,2016,27,1458,1,0
27.1763,-16.3403,2017,19,1458,1,0
27.4775,-11.6689,2017,56,797,1,1
27.4775,-11.6689,2017,56,1285,1,1
27.4775,-11.6689,2019,82,797,1,5
28.2037,-15.4165,2014,20,423,1,1
28.2833,-15.4167,2014,10,1250,1,1
28.7395,-9.35187,2012,302,498,1,0
28.8314,-2.22502,2017,76,797,1,68
28.8314,-2.22502,2017,76,1285,1,68
28.8314,-2.22502,2019,76,797,1,64
29.3018,0.114047,2014,22,578,1,16
29.4461,-1.1855,2002,56,1157,1,52
29.662,-4.88376,2017,165,975,1,3
29.6931,-1.28432,2020,122,804,1,35
29.7,-0.75,2012,86,591,1,84
29.7,-0.75,2013,66,591,1,55
29.7,-0.75,2015,117,591,1,82
29.7181,-2.56041,2010,124,1452,2,94
29.7181,-2.56041,2014,104,1452,2,46
29.7181,-2.56041,2018,107,1452,2,19
29.7181,-2.56041,2019,59,1452,2,16
29.7181,-2.56041,2023,202,1452,2,52
29.7373,-2.60273,2010,104,274,1,77
29.7426,-0.819525,2003,80,90,1,80
29.7426,-0.819525,2016,47,926,1,19
29.7426,-0.819525,2016,48,926,1,26
29.7426,-0.819525,2017,44,926,1,15
